0,47
139
46	-59	59
-23	-6	42
-31	70	-99
-51	79	-93
96	-49	-27
13	36	-89
-51	-8	81
-29	17	4
73	-80	65
74	-39	-17
5	-7	8
-44	63	-69
2	-20	37
-46	6	47
94	-15	-91
31	-20	0
21	2	-31
72	-40	-12
17	18	-57
-12	-30	75
-30	24	-10
85	-66	23
-92	32	54
-27	34	-33
-30	-6	51
34	-38	32
24	8	-47
-84	93	-78
100	-90	51
85	-69	28
-12	47	-79
6	-33	57
-6	-35	78
20	32	-89
93	-46	-28
-62	65	-50
-36	29	-11
-45	60	-61
84	-36	-35
72	-90	86
-43	56	-56
52	-58	49
-32	71	-100
31	-52	64
-90	13	90
-25	22	-11
-24	10	10
-44	-13	82
-94	20	81
-76	49	-1
68	-72	57
-46	25	9
-80	74	-45
66	3	-91
-33	-15	72
33	-45	47
-23	-7	44
53	-58	47
-87	49	14
58	-17	-40
16	9	-38
-90	22	72
-40	32	-13
-31	50	-60
-18	-3	29
95	-73	23
92	-20	-78
89	-87	58
81	-7	-90
52	6	-79
52	6	-78
89	-16	-82
92	-92	64
55	13	-96
11	-16	18
-23	8	14
-89	43	29
63	8	-98
-74	74	-52
48	2	-66
75	-96	95
-51	81	-96
-86	93	-75
-42	38	-23
92	-14	-91
56	-25	-22
58	-45	14
5	13	-31
-5	41	-75
-35	-15	75
-60	7	62
53	-43	18
-4	-36	77
-7	-30	69
26	-9	-15
-33	-25	93
23	-52	74
5	7	-20
6	7	-22
68	-43	-2
-29	48	-58
-7	-3	16
89	-81	46
-86	37	36
-62	38	3
61	-19	-40
84	-73	38
93	-73	26
94	-54	-13
64	-57	31
-36	49	-52
-42	7	39
-87	-15	-15
-70	-39	27
-36	-29	-12
93	-43	4
-13	-99	-68
61	-66	28
81	68	47
-54	-72	-13
-94	50	8
-88	-29	-34
-68	-23	-4
70	1	7
42	-54	57
-33	83	19
-70	71	-5
-74	-90	-37
16	68	61
31	26	26
-79	67	-44
99	-77	12
-82	-48	-100
-78	60	80
-93	18	0
26	-82	88
71	14	85
-72	-85	-42
92	81	39
