0,33
9679
-80	55	54
10	-71	91
87	-40	-12
-70	97	4
31	67	-63
97	4	-64
63	-17	-12
11	-72	91
-36	-2	68
-79	94	16
18	94	-77
-7	28	11
2	40	-9
93	-35	-22
-47	9	68
-34	-5	69
-100	-79	-77
-51	21	60
-50	20	60
29	29	-24
49	-27	12
37	75	-76
-86	21	93
-100	-55	-48
-100	-87	-97
4	45	-15
-87	98	19
4	-19	47
93	-21	-36
83	49	-94
76	-76	34
-7	97	-56
-33	39	25
-100	-97	-98
8	31	-6
-76	74	32
52	4	-21
81	-41	-5
88	-50	-3
-100	-64	-12
53	46	-63
53	82	-98
-24	71	-14
92	-14	-42
29	85	-78
35	-27	25
-2	6	28
7	23	3
-57	58	30
69	30	-63
6	-52	77
73	-74	35
58	-5	-18
31	0	2
21	97	-82
-47	54	24
70	-86	49
0	32	1
92	-38	-18
77	-53	10
-32	-39	100
72	-79	40
-7	6	33
-38	-23	90
25	42	-32
81	1	-46
-38	52	17
-83	80	33
61	58	-82
-60	13	76
-25	-35	90
75	-39	-1
-27	-5	62
-61	63	29
-76	75	31
54	-28	8
-100	-16	-89
47	62	-73
60	-70	43
60	-93	65
-87	20	95
-100	-32	-66
-71	16	83
63	63	-89
39	-73	66
-100	-66	-72
92	-32	-24
96	-87	25
23	49	-37
-23	26	29
-51	29	52
59	59	-81
-94	45	77
-84	61	52
-100	-17	-91
92	-75	17
9	86	-60
57	32	-53
32	-44	44
60	-81	53
0	-21	52
-100	-26	-99
100	-74	9
16	-74	88
-59	68	22
-100	-65	-61
54	64	-81
20	-72	83
31	78	-73
-79	73	36
85	39	-86
-28	32	27
13	40	-19
-24	79	-22
-61	29	61
-28	-26	83
71	-94	56
39	-42	35
-31	-21	82
-67	89	9
73	-33	-5
4	48	-18
52	61	-77
-7	33	7
43	40	-48
-52	24	58
-100	-87	-89
100	90	83
31	27	-24
79	-84	38
-13	-35	78
54	58	-76
73	25	-62
77	-98	54
10	-53	74
36	-3	1
78	-41	-2
-28	2	57
-100	-79	-63
57	79	-99
4	55	-25
43	-10	1
74	-34	-5
-100	-52	-13
-3	50	-14
-85	44	70
42	-2	-6
48	71	-82
54	-61	40
-52	3	78
100	97	93
65	-49	18
34	-53	51
79	-53	9
70	-59	23
99	13	-75
100	64	78
-38	6	62
30	13	-9
52	-2	-15
81	37	-81
-15	88	-39
31	-74	74
80	-35	-10
100	-62	-3
-27	27	31
5	-9	36
-4	-9	44
16	-68	83
-8	-3	42
-100	-76	-40
-6	-27	64
-100	-76	-81
-100	-81	-83
-56	94	-6
10	-13	35
-82	41	70
11	-72	91
-27	-5	62
-33	30	34
-24	24	31
-29	93	-31
-100	-90	-83
1	23	9
67	-80	46
21	-33	44
-62	16	75
100	69	86
-41	64	9
-56	86	2
-29	27	33
-100	-12	-99
44	7	-17
-60	82	9
-100	-53	-67
60	63	-86
-100	-70	-61
50	5	-20
-49	100	-19
34	43	-42
14	37	-17
-15	39	8
-48	9	69
53	-88	67
48	-13	-1
-51	34	47
-73	2	99
0	-53	83
-38	-17	84
-41	10	61
-17	62	-12
99	-17	-46
-65	73	22
-32	63	1
91	-95	38
43	54	-62
-67	70	27
72	15	-51
26	89	-79
79	-49	5
-26	57	1
30	-71	72
83	22	-68
74	-85	44
85	-20	-29
49	60	-73
23	97	-84
7	57	-30
7	10	16
96	-51	-10
0	-24	55
56	-69	46
-56	68	19
89	-31	-22
-10	11	31
9	91	-65
21	-6	18
-32	59	5
-95	95	30
-27	-12	69
-49	72	9
13	73	-51
14	96	-75
-56	42	44
25	19	-10
-51	-18	98
-67	66	31
40	23	-29
76	-23	-18
56	-89	65
44	9	-19
-37	77	-8
64	-81	50
-100	-71	-21
-9	49	-7
-21	56	-2
54	-7	-12
-40	58	14
-37	10	57
32	-93	92
-26	-11	67
75	-13	-26
98	13	-74
4	9	19
-89	59	59
86	25	-74
-35	77	-10
12	40	-18
26	25	-17
-47	78	1
20	-25	37
11	47	-24
-60	94	-2
-11	-47	88
-75	61	44
98	-47	-15
-25	63	-5
-100	-81	-29
42	-48	39
55	-43	22
-75	35	69
-90	23	95
28	24	-18
22	-24	34
97	11	-71
-35	46	20
22	-5	16
-96	29	95
-35	37	29
74	60	-97
69	-91	55
96	-73	12
83	-63	14
85	47	-94
-85	16	97
-67	58	39
30	-45	47
60	-93	65
-37	-14	80
78	-93	48
84	-2	-46
72	50	-85
-16	20	28
64	31	-59
43	-91	80
52	26	-42
-10	-23	64
68	51	-82
-65	62	33
3	-55	83
-29	9	50
62	-1	-26
-16	69	-20
-75	12	91
-42	-21	92
69	-40	5
2	-62	90
99	7	-69
38	-99	92
-100	-33	-87
-100	-51	-61
-16	-50	96
-37	-24	90
13	78	-56
58	-85	59
-1	64	-29
-100	-85	-70
-86	48	67
-34	75	-9
-79	53	55
-44	28	46
-4	-15	50
91	-42	-14
-91	30	89
-61	15	75
-32	3	59
15	-57	73
-8	-14	53
-100	-88	-15
71	17	-52
75	-70	29
57	-39	16
77	-93	49
59	-87	60
-2	92	-56
-26	28	29
-1	-32	64
-100	-79	-58
4	81	-51
51	25	-41
-81	61	49
-100	-13	-70
-22	-47	99
85	33	-81
38	96	-97
81	-74	27
65	28	-57
-52	-4	85
100	-22	-41
49	-92	74
-63	75	19
-49	41	39
74	19	-56
91	-8	-46
45	-76	63
87	-48	-4
100	98	67
-27	-7	64
57	23	-44
8	-75	97
90	30	-82
97	27	-86
-95	55	69
-12	32	12
45	38	-48
-3	39	-3
-80	71	39
-59	81	9
21	-81	90
-53	-4	86
87	-53	1
24	75	-64
-2	-35	68
-100	-50	-97
-68	24	73
28	14	-8
82	-51	4
-87	68	48
52	74	-89
32	-9	10
30	74	-68
-67	15	81
-85	61	53
6	61	-33
68	-24	-9
72	54	-89
27	-84	88
-88	54	63
67	-38	5
44	2	-12
36	31	-32
44	-86	74
-44	35	39
-33	-17	80
62	-61	32
-4	-20	55
35	-18	16
-36	63	5
-15	57	-9
19	58	-42
92	-73	15
-28	70	-10
88	39	-89
-48	74	5
-28	92	-31
-43	82	-7
77	-84	40
45	-67	54
-47	38	39
3	81	-49
-100	-27	-44
70	-46	10
87	-18	-33
-61	25	65
0	-17	48
-74	65	39
1	89	-55
48	1	-15
-98	54	73
26	-17	24
49	-40	24
-35	11	54
-16	-24	70
-21	33	20
35	2	-3
-98	63	64
30	-24	27
-29	-30	88
60	23	-47
71	-24	-12
-76	23	82
32	33	-31
88	-90	36
77	43	-83
-4	-61	95
86	-21	-29
32	-29	30
-100	-73	-97
-86	58	57
-31	9	53
-37	70	-1
-80	87	23
